"","LineID","Lower","Estimate","Upper"
"1","Group CSF2RB_R461C_2",191817.923528383,96135.8576026378,48181.6451090249
"2","Group CSF2RB_R461C_22",37750.3529653136,26644.5298638577,18805.9426177634
"3","Group CSF2RB_WT_1",7154965.08327276,1008042.01224625,142020.077893753
"4","Group CSF2RB_WT_21",1030993.45000213,332638.949507071,107322.379913218
"5","Group CSF3R_T618I_14",1.41228195793257,1.13303654616216,1
"6","Group CSF3R_T618I_24",1.76860780748436,1.4228960722102,1.14476099435014
"7","Group CSF3R_T618I_4",13.1052457815096,8.06830721215946,4.96729190395127
"8","Group CSF3R_W791X_15",531.158030560643,385.660512014798,280.01841630922
"9","Group CSF3R_W791X_25",496.130524597056,359.622188035799,260.673576238213
"10","Group CSF3R_W791X_5",2407.88729524478,1728.92991215572,1241.41966571692
"11","Group CSF3R_WT_13",632.032343608917,461.794231806143,337.409809301438
"12","Group CSF3R_WT_23",1220.73198420338,870.345414764571,620.530264467541
"13","Group CSF3R_WT_3",6885.8121579505,5438.94104339619,4296.09158585362
"14","Group IL7R_243InsPPCL_17",109.005618294277,77.0684445696003,54.4884313425285
"15","Group IL7R_243InsPPCL_27",171.736882838022,117.637234267215,80.5797721336997
"16","Group IL7R_243InsPPCL_7",7260.24808820256,5747.65407185547,4550.19262818269
"17","Group IL7R_WT_16",Inf,Inf,276014.700383222
"18","Group IL7R_WT_26",5617819.00776233,791026.917522459,111381.940817335
"19","Group IL7R_WT_6",Inf,Inf,334806.954831815
"20","Group P210_Fusion_19",1.30293481152452,1.07902564601285,1
"21","Group P210_Fusion_29",2.64634275065801,1.95105982464725,1.43845102392954
"22","Group P210_Fusion_9",2.10844757472156,1.67322049845477,1.32783326937543
"23","Group Vector_Empty_18",65450.8526015437,42678.597627996,27829.4723917687
"24","Group Vector_Empty_28",Inf,Inf,269511.109409439
"25","Group Vector_Empty_8",Inf,Inf,321370.768198008
