"","LineID","R_2_1","R_2_100","R_2_1000","R_2_10000","R_9_1","R_9_100","R_9_1000","R_9_10000","W_2_1","W_9_1"
"1","1_CSF2RB_WT",0,0,0,0.0208333333333333,0,0,0,0,0.6875,0.697916666666667
"2","11_CSF2RB_WT",0,NA,NA,NA,NA,NA,NA,NA,0.635416666666667,NA
"3","12_CSF2RB_R461C",0,0,0,0.282608695652174,NA,NA,NA,NA,0.583333333333333,NA
"4","13_CSF3R_WT",0,0.125,0.875,1,0,0.25,0.875,1,0.71875,0.59375
"5","14_CSF3R_T618I",0.34375,1,1,1,0.5,1,1,1,0.4375,0.489583333333333
"6","15_CSF3R_W791X",0,0.125,0.791666666666667,1,0.0104166666666667,0.458333333333333,1,1,0.645833333333333,0.770833333333333
"7","16_IL7R_WT",0,0,0,0,0,0,0,0,0.46875,0.697916666666667
"8","17_IL7R_243InsPPCL",0,0.541666666666667,1,1,0,0.916666666666667,1,1,0.625,0.572916666666667
"9","18_Vector_Empty",0,0,0,0.0208333333333333,0,0,0,0.416666666666667,0.697916666666667,0.625
"10","19_P210_Fusion",0.635416666666667,1,1,NA,0.572916666666667,1,1,1,0.729166666666667,0.635416666666667
"11","2_CSF2RB_R461C",0,0,0,0.0222222222222222,0,0,0,0.145833333333333,0.46875,0.65625
"12","21_CSF2RB_WT",0,0,0,0.0625,0,0,0,0,0.75,0.645833333333333
"13","22_CSF2RB_R461C",0,0,0.0416666666666667,0.479166666666667,0,0,0.0416666666666667,0.145833333333333,0.677083333333333,0.71875
"14","23_CSF3R_WT",0.0104166666666667,0.0416666666666667,0.75,1,0,0,0.625,1,0.552083333333333,0.677083333333333
"15","24_CSF3R_T618I",0.572916666666667,1,1,1,0.291666666666667,1,1,1,0.645833333333333,0.479166666666667
"16","25_CSF3R_W791X",0,0.125,0.958333333333333,1,0,0.125,1,1,0.78125,0.604166666666667
"17","26_IL7R_WT",0,0,0,0.0208333333333333,0,0,0,0,0.5,0.583333333333333
"18","27_IL7R_243InsPPCL",0.0520833333333333,1,1,1,0,0.0833333333333333,0.916666666666667,1,0.5625,0.46875
"19","28_Vector_Empty",0,0,0,0,0,0,0,0,0.447916666666667,0.802083333333333
"20","29_P210_Fusion",0.239583333333333,1,1,NA,0.197916666666667,1,1,1,0.479166666666667,0.270833333333333
"21","3_CSF3R_WT",0,0,0.0416666666666667,0.673913043478261,0,0,0.333333333333333,1,0.708333333333333,0.729166666666667
"22","4_CSF3R_T618I",0.135416666666667,0.875,1,NA,0.302083333333333,1,1,1,0.53125,0.427083333333333
"23","5_CSF3R_W791X",0,0,0,0.979166666666667,0,0.166666666666667,0.916666666666667,1,0.645833333333333,0.583333333333333
"24","6_IL7R_WT",0,0,0,0,0,0,0,0,0.802083333333333,0.78125
"25","7_IL7R_243InsPPCL",0,0,0,0.979166666666667,0,0,0.0416666666666667,0.75,0.6875,0.677083333333333
"26","8_Vector_Empty",0,0,0,0,0,0,0,0,0.59375,0.6875
"27","9_P210_Fusion",0.28125,1,1,NA,0.479166666666667,1,1,1,0.510416666666667,0.59375
